method,seed,k,h,budget,score,success,final_distance,avg_k,avg_h,avg_budget,nfe,policy_calls,rollout_time_sec,chunk_discontinuity,smoothness,jerk_proxy,phase_free_score,phase_contact_score,phase_align_score
fixed_k2_h8,1,2.0,8.0,0.25,0.6755778551735738,0,0.1759083365875361,2.0,8.0,0.25,30,15,0.006400126963853836,0.4529267253305961,0.0715291670415918,0.17377941269265887,0.48297729098825415,0.5970576619494524,0.8291964515259974
fixed_k2_h8,2,2.0,8.0,0.25,0.867677203062714,1,0.06941712087219234,2.0,8.0,0.25,30,15,0.006420171819627285,0.4200261638033851,0.05609263551040851,0.11740107938422147,0.5006680217538251,0.39592002504050894,0.938483434785168
fixed_k2_h8,3,2.0,8.0,0.25,0.8593825069051891,1,0.07386560479700277,2.0,8.0,0.25,30,15,0.006058189086616039,0.4496196431240248,0.05317711867863128,0.12473145375041014,0.5944468505339151,0.5284454358168802,0.922331940888543
fixed_k2_h8,4,2.0,8.0,0.25,0.8143558952546314,1,0.09823197330392197,2.0,8.0,0.25,30,15,0.005928799510002136,0.37149174739250707,0.043566120924285065,0.08887362925247627,0.44834061797104907,0.5439584638156437,0.944834750128448
fixed_k2_h8,5,2.0,8.0,0.25,0.8147674162702565,1,0.09800756094151254,2.0,8.0,0.25,30,15,0.006763664074242115,0.5408747782810519,0.07133966828401218,0.16005060825743136,0.4455458251416064,0.386195366359453,0.9104138494638023
fixed_k2_h8,6,2.0,8.0,0.25,0.542357302707495,0,0.25491062361296946,2.0,8.0,0.25,30,15,0.005752315744757652,0.4560317021749526,0.05071339437014779,0.1058049793028955,0.5858469659965285,0.3136858959362147,nan
fixed_k2_h8,7,2.0,8.0,0.25,0.8782333780606547,1,0.06377332312027553,2.0,8.0,0.25,30,15,0.005858139134943485,0.41160527228382165,0.04706636043981566,0.1060297267360502,0.3512297004447346,0.5111040411128555,0.8527592230761114
fixed_k2_h8,8,2.0,8.0,0.25,0.9852499055046878,1,0.007601849176611044,2.0,8.0,0.25,30,15,0.006782731041312218,0.4640835351099048,0.08976333028330188,0.2256845262739236,0.33896914001015077,0.45964811637241015,0.9472910343686984
fixed_k2_h8,9,2.0,8.0,0.25,0.8992884852046523,1,0.05257382613226213,2.0,8.0,0.25,30,15,0.005904713645577431,0.48378499556534965,0.053487734213424905,0.1043046473587072,0.3280403852939622,0.3812470425795399,0.8377836460370187
fixed_k2_h8,10,2.0,8.0,0.25,0.9678106909933852,1,0.016631697116795977,2.0,8.0,0.25,30,15,0.006783162243664265,0.5890436217762826,0.0892255094112921,0.20693460635802716,0.37473595857149655,0.3868778998876642,0.906768767237942
