step,pusher_x,pusher_y,obj_x,obj_y,goal_x,goal_y,obj_goal_dist,pusher_obj_dist,contact,progress,phase,seed,method,k,h,local_chunk_step,convergence_signal,action_x,action_y,final_score,success
91,0.46022115382031403,0.38060484114124704,0.6419514078264613,0.5683273033142522,0.78,0.72,0.20509027456469714,0.2612768800055492,0.0,0.002927063580602768,free,0,fixed_k2_h1,2,1,0,0.017341187414494585,0.12424971744830973,0.1759088417845362,0.9816262707472116,1
92,0.4712818758631051,0.3759078523135712,0.6437367984303438,0.5700268405165854,0.78,0.72,0.20263170696475533,0.25965916486547175,0.0,0.0024585675999418133,free,0,fixed_k2_h1,2,1,0,0.0766809434369436,0.24579382317313436,-0.10437752950390715,0.9816262707472116,1
93,0.4703887612224673,0.38129366608666554,0.6452365265376051,0.5714544517665453,0.78,0.72,0.20056663152086698,0.25832705132464673,0.0,0.0020650754438883423,free,0,fixed_k2_h1,2,1,0,0.04792602853566541,-0.019846992014173444,0.11968475051320679,0.9816262707472116,1
94,0.48285607589189644,0.4210190756774739,0.6464962981477046,0.5726536452165116,0.78,0.72,0.19883205646034094,0.22309452037022237,0.0,0.0017345750605260446,free,0,fixed_k2_h1,2,1,0,0.1457320174613449,0.2770514370984246,0.8827868797957408,0.9816262707472116,1
95,0.5054753541073846,0.4314715603485552,0.6475545063001882,0.5736609677144834,0.78,0.72,0.19737507738224797,0.20100824126114752,0.0,0.0014569790780929737,free,0,fixed_k2_h1,2,1,0,0.0630172592806432,0.5026506270108502,0.23227743713514082,0.9816262707472116,1
96,0.5116720979999312,0.442258524697869,0.6484434011482744,0.5745071186127796,0.78,0.72,0.19615126111190223,0.19025267398217274,0.0,0.0012238162703457345,free,0,fixed_k2_h1,2,1,0,0.01745197021857795,0.13770541983436832,0.23971031887364022,0.9816262707472116,1
97,0.5127348517639018,0.42993083859532205,0.6491900728206668,0.5752178853673484,0.78,0.72,0.19512328863096975,0.19931972635288153,0.0,0.0010279724809324764,free,0,fixed_k2_h1,2,1,0,0.09835210430995661,0.023616750310457936,-0.27394858005659917,0.9816262707472116,1
98,0.528809825220855,0.4549733201645978,0.6498172770254764,0.5758149294411863,0.78,0.72,0.19425981553865337,0.17101315132118777,0.0,0.0008634730923163803,free,0,fixed_k2_h1,2,1,0,0.08086632508984554,0.3572216323767376,0.5564995904283504,0.9816262707472116,1
99,0.5332330238601237,0.4842938358840749,0.6503441285575166,0.57631644646321,0.78,0.72,0.1935345151554869,0.14894016147850403,0.0,0.0007253003831664828,free,0,fixed_k2_h1,2,1,0,0.1025504516639888,0.09829330309486248,0.6515670159883792,0.9816262707472116,1
100,0.5181484478519961,0.48028037264814954,0.6507866838444303,0.5767377207617099,0.78,0.72,0.19292527497575068,0.16400280989143215,0.0,0.000609240179736209,free,0,fixed_k2_h1,2,1,0,0.11402126816272301,-0.33521280018061506,-0.08918807190945231,0.9816262707472116,1
101,0.5306923669096227,0.487631499146198,0.6511584302854377,0.5770915911724499,0.78,0.72,0.1924135218744634,0.15005059310316415,0.0,0.0005117531012872878,free,0,fixed_k2_h1,2,1,0,0.01963196019410607,0.27875375683614756,0.1633583666232996,0.9816262707472116,1
102,0.5756923669096228,0.49469359281464487,0.651470697295884,0.5773888423174715,0.78,0.72,0.1919836554219064,0.11216443128935351,0.0,0.00042986645255699285,free,0,fixed_k2_h1,2,1,0,0.19258396099255382,1.0,0.15693541485437493,0.9816262707472116,1
